C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev,WT.or.LOF.or.Auxin
355972.78,357228.24,362354.676,600.783,3276.891,Auxin
358736.079,354045.235,363377.923,2533.204,3886.793,Auxin
361172.599,356386.223,369059.755,4817.239,9272.812,Auxin
359664.491,358651.278,362006.962,3538.138,2984.34,Auxin
360153.779,354439.517,370018.676,4084.377,9193.774,Auxin
360191.181,357979.469,363078.839,4138.936,3710.171,Auxin
357835.662,354601.027,361848.933,1857.146,2715.358,Auxin
361573.257,356178.221,359378.719,4904.27,1052.796,Auxin
356271.627,355741.292,358239.219,938.153,280.14,Auxin
358068.393,356056.695,366107.864,2282.981,6147.986,Auxin
356775.07,351276.124,363715.794,1037.885,4267.932,Auxin
357278.726,353124.682,364109.584,1474.516,4650.36,Auxin
357145.407,353252.843,364983.428,1506.791,4572.426,Auxin
358304.155,355419.238,364295.685,2353.114,5168.906,Auxin
354972.844,351473.656,366486.004,30.892,6631.006,Auxin
354957.594,350905,361411.53,14.805,2300.497,Auxin
355779.887,352104.593,363191.915,533.494,3956.633,Auxin
356305.568,355840.254,365727.356,755.504,5475.941,Auxin
357289.376,353477.983,359734.965,1593.508,1127.809,Auxin
353480.369,350582.698,358794.742,286.926,1402.51,Auxin
356092.939,355618.771,357430.691,2462.61,380.196,Auxin
356365.658,357029.429,361020.662,2305.672,3114.352,Auxin
355976.346,352708.157,367286.809,2064.896,8589.606,Auxin
355106.15,355476.923,363473.34,1384.034,4790.842,Auxin
354618.651,352409.262,358174.226,1082.913,683.661,Auxin
355088.419,355825.907,358260.727,1522.239,800.071,Auxin
355731.338,352950.862,357630.966,1755.095,491.674,Auxin
357206.556,355350.995,363697.022,2749.643,4791.509,Auxin
354208.467,355469.166,360468.065,806.526,2675.677,Auxin
353674.355,354743.931,363307.309,415.413,4768.032,Auxin
354078.943,353331.11,364410.483,786.815,5402.796,Auxin
353931.181,353623.985,360441.659,622.179,2381.239,Auxin
354001.589,357831.673,361147.217,620.378,2927.799,Auxin
353319.688,351761.711,360400.353,197.073,2425.074,Auxin
356309.543,352427.587,356606.641,1828.276,639.291,Auxin
356566.699,353715.324,355925.453,2196.446,130.218,Auxin
356205.341,352357.991,359709.531,1669.499,2786.653,Auxin
353218.927,350531.604,360642.805,7.126,3383.828,Auxin
356143.312,352857.751,357947.969,1860.787,1499.323,Auxin
354168.015,352792.393,358264.595,646.049,2051.304,Auxin
355844.981,353302.985,361237.273,1717.327,4460.292,Auxin
355290.669,354662.43,359055.502,1454.166,2380.294,Auxin
353494.892,352240.973,363175.124,213.536,5516.808,Auxin
354328.258,354756.831,361405.56,805.386,4368.265,Auxin
355209.353,354034.157,357335.705,1341.665,1058.348,Auxin
NA,NA,362335.878,NA,4864.061,Auxin
NA,NA,358558.859,NA,1744.115,Auxin
358504.191,352847.868,360212.526,2634.274,2112.019,Auxin
358899.333,354407.17,358114.819,2757.112,911.933,Auxin
360167.235,353070.332,360217.519,3227.874,2118.515,Auxin
361185.29,354752.143,359196.176,4479.875,1491.69,Auxin
360573.785,355899.945,364294.454,3894.657,5794.353,Auxin
359638.237,353782.613,356987.906,3121.384,117.658,Auxin
358290.691,352260.33,362674.412,2008.868,3897.483,Auxin
359291.252,354221.899,358538.144,3188.979,1195.768,Auxin
355351.287,350723.054,366894.816,207.174,8258.822,Auxin
