Area,Mean,StdDev,Circ.,AR,Round,Solidity,WT.or.LOF.or.Auxin
0.056,359110.774,1880.083,1,1.058,0.945,0.925,Auxin
0.042,359165.637,2420.638,0.964,1.623,0.616,0.92,Auxin
0.072,359492.691,2238.047,1,1.434,0.698,0.93,Auxin
0.065,360575.443,2842.56,0.996,1.303,0.768,0.935,Auxin
0.145,363819.513,5920.112,0.88,1.578,0.634,0.904,Auxin
0.067,358963.331,1719.942,0.969,1.582,0.632,0.961,Auxin
0.123,361543.348,3987.498,0.962,1.403,0.713,0.907,Auxin
0.072,359868.204,2460.041,1,1.279,0.782,0.93,Auxin
0.058,359612.151,2185.959,0.991,1.312,0.762,0.901,Auxin
0.047,358794.742,1402.51,1,1.087,0.92,0.867,Auxin
0.016,357430.691,380.196,1,1,1,1,Auxin
0.087,361020.662,3114.352,0.995,1.225,0.816,0.873,Auxin
0.188,367286.809,8589.606,0.974,1.076,0.929,0.929,Auxin
0.112,363473.34,4790.842,0.984,1.115,0.897,0.939,Auxin
0.023,358174.226,683.661,1,1.159,0.863,0.897,Auxin
0.027,358260.727,800.071,1,1.137,0.88,0.968,Auxin
0.018,357630.966,491.674,1,1.236,0.809,0.909,Auxin
0.168,363697.022,4791.509,0.912,1.796,0.557,0.939,Auxin
0.078,360468.065,2675.677,0.974,1.217,0.822,0.896,Auxin
0.161,363307.309,4768.032,0.965,1.435,0.697,0.918,Auxin
0.296,364410.483,5402.796,0.706,2.557,0.391,0.904,Auxin
0.074,360441.659,2381.239,0.997,1.277,0.783,0.932,Auxin
0.096,361147.217,2927.799,0.975,1.328,0.753,0.93,Auxin
0.076,360400.353,2425.074,1,1.324,0.755,0.944,Auxin
0.094,356982.525,2123.807,1,1.243,0.804,0.929,Auxin
0.101,357394.884,2542.219,1,1.103,0.907,0.903,Auxin
0.134,357944.523,2966.683,1,1.152,0.868,0.937,Auxin
0.105,357122.12,2279.521,0.984,1.399,0.715,0.892,Auxin
0.013,354423.75,203.392,1,1.069,0.936,0.875,Auxin
0.056,355517.373,993.044,1,1.058,0.945,0.925,Auxin
