C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev
357206.556,355350.995,363697.022,2749.643,4791.509
354208.467,355469.166,360468.065,806.526,2675.677
353674.355,354743.931,363307.309,415.413,4768.032
354078.943,353331.110,364410.483,786.815,5402.796
353931.181,353623.985,360441.659,622.179,2381.239
354001.589,357831.673,361147.217,620.378,2927.799
353319.688,351761.711,360400.353,197.073,2425.074
356309.543,352427.587,356606.641,1828.276,639.291
356566.699,353715.324,355925.453,2196.446,130.218
356205.341,352357.991,359709.531,1669.499,2786.653
353218.927,350531.604,360642.805,7.126,3383.828
356143.312,352857.751,357947.969,1860.787,1499.323
354168.015,352792.393,358264.595,646.049,2051.304
355844.981,353302.985,361237.273,1717.327,4460.292
355290.669,354662.430,359055.502,1454.166,2380.294
353494.892,352240.973,363175.124,213.536,5516.808
354328.258,354756.831,361405.560,805.386,4368.265
355209.353,354034.157,357335.705,1341.665,1058.348
,,362335.878,,4864.061
,,358558.859,,1744.115
358504.191,352847.868,360212.526,2634.274,2112.019
358899.333,354407.170,358114.819,2757.112,911.933
360167.235,353070.332,360217.519,3227.874,2118.515
361185.290,354752.143,359196.176,4479.875,1491.690
360573.785,355899.945,364294.454,3894.657,5794.353
359638.237,353782.613,356987.906,3121.384,117.658
358290.691,352260.330,362674.412,2008.868,3897.483
359291.252,354221.899,358538.144,3188.979,1195.768
355351.287,350723.054,366894.816,207.174,8258.822
355011.344,350878.990,361806.291,42.586,3028.569
355837.167,351452.302,357710.025,483.814,577.080
356289.730,350959.311,361774.578,815.028,3395.417
357443.106,357621.412,364355.171,1745.115,5723.248
356615.339,358282.949,365227.694,981.651,5839.892
,,364280.961,,5066.537
,,361000.871,,2741.980
353939.884,350927.425,355478.004,80.132,621.909
358830.467,351308.508,357291.242,3594.276,1908.042
357362.860,351686.075,357112.607,2750.612,1945.976
356345.515,351854.148,355287.550,1711.207,485.429
355170.921,352251.441,355815.356,901.217,1014.013
354932.750,350936.644,356589.206,688.261,1548.103
358854.371,353063.034,356575.769,3478.665,1683.902
355812.091,353063.449,355421.223,1477.590,595.566
356762.135,354648.779,355764.208,2126.256,845.558
355851.110,351014.101,359526.005,1447.957,3397.750
354553.207,352327.181,356491.433,475.100,1366.606
354173.062,350438.834,356214.906,242.733,1271.943
356372.886,353155.133,359531.610,1686.510,4018.029
353838.438,354230.469,356999.460,20.594,1826.365
353847.898,350470.430,358147.992,26.200,2943.627
356091.228,354251.193,361714.403,1452.715,5951.977
354502.351,352855.383,,397.005,
354034.884,355136.781,356521.332,63.113,1543.594
356656.579,352149.633,358685.020,1860.054,3138.577
358304.320,352371.057,355104.354,2963.901,525.045
357043.180,352467.653,356630.046,2010.847,1524.890
357902.248,352340.613,358480.776,3240.654,3082.140
357126.935,351504.698,359315.055,2681.575,4007.678
356469.494,353776.936,358901.413,1910.072,3366.697
355368.905,351085.049,358695.117,1008.198,3435.326
356205.007,351095.032,356791.814,1516.327,1515.978
354179.656,351676.474,359283.463,198.634,3207.426
357888.099,353559.858,356069.753,2694.987,1116.638
355986.565,354045.991,355222.040,1390.899,476.578
355869.113,352293.362,358187.477,1370.457,2695.736
353924.177,352003.031,,32.882,
