C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev
353133.476,354527.831,,648.785,
352303.200,350394.300,,63.511,
352230.272,355375.839,,39.678,
352296.840,350830.087,,91.231,
352268.903,358487.709,,63.551,
355770.022,352874.998,360543.975,2415.835,4328.723
354519.663,352436.879,358598.372,1432.992,2687.218
352813.022,350471.333,354962.812,254.651,0.000
354357.483,352024.194,357696.352,1337.076,1860.624
353837.373,356378.877,356639.529,1055.224,1247.844
352859.627,352449.802,360391.392,262.369,3762.104
352545.191,350429.910,355952.622,89.502,778.186
354471.154,351647.741,360687.117,1359.339,4233.758
354061.383,352984.327,356653.302,1298.802,1287.049
354490.006,352060.794,360560.568,1376.348,4393.210
352752.859,351197.407,355046.164,237.805,80.133
353432.576,355048.118,357777.510,662.045,1950.109
353746.235,351180.766,,911.025,
352440.069,350983.925,,42.702,
353299.910,351252.896,,605.751,
352891.657,354465.690,,325.956,
353706.811,350831.739,,940.924,
357376.207,354635.367,363838.327,2840.510,4907.635
357937.074,356432.124,364518.282,2561.201,6189.565
358922.139,352618.649,360045.520,3103.491,2263.033
355416.514,354123.981,361455.222,754.438,3497.025
356990.493,352343.016,362445.925,2013.423,4256.209
357278.299,355726.520,358266.286,2235.327,920.464
356885.819,353672.558,363165.750,1931.356,4900.143
358813.634,354553.318,362501.790,3328.603,4485.558
355328.202,350730.151,,781.617,
352911.797,352717.702,355859.290,1034.317,1125.406
353392.606,351925.244,356978.182,1311.749,2032.886
351740.220,350294.418,355058.599,136.586,639.093
352682.189,352951.485,356736.247,825.806,1688.557
353199.965,353624.159,355288.740,1307.523,701.963
352713.094,351749.723,355987.052,770.974,1150.899
351889.498,354304.826,355642.478,243.606,951.212
352479.289,353686.465,359702.834,737.544,4443.422
352699.696,351862.775,359309.854,802.282,4136.550
352376.646,352435.524,355177.806,568.188,524.248
352304.658,350311.546,359546.064,582.859,3988.016
352072.476,352767.161,355309.152,382.553,672.517
352452.630,351810.161,356783.415,663.726,1733.390
351825.192,352209.244,362551.999,180.140,7237.777
353487.716,350978.693,357511.028,1361.617,2362.923
353003.139,353100.950,357542.482,1207.399,2320.551
352020.934,352421.421,356554.871,365.571,1734.751
351886.493,352119.744,356342.970,226.928,1544.630
,,357281.656,,1973.385
352088.440,350935.339,351831.211,745.923,24.274
352369.105,350583.485,352330.351,1113.319,342.666
351043.173,350239.554,352705.844,59.937,728.885
351478.397,350915.820,352652.759,406.518,604.614
351378.415,351060.246,353497.894,316.831,1375.231
351761.944,351109.307,352300.510,570.544,384.604
351723.812,351118.916,353274.565,551.402,1075.248
351778.343,351015.269,353049.688,576.904,900.445
351680.637,350879.260,352938.920,465.704,842.959
351276.692,351459.104,352925.974,230.462,806.899
351268.054,351934.117,352277.367,208.294,372.378
351679.591,351743.319,352700.025,512.330,658.798
351418.108,352146.728,353116.176,314.170,1083.361
351932.841,351619.950,354616.335,721.030,2465.845
351522.236,351339.079,353514.136,371.138,1333.087
351528.069,350276.232,352556.930,398.022,482.507
351374.180,351084.493,352303.003,320.553,354.550
351977.785,351523.961,353863.832,861.689,1665.256
,,353091.379,,1007.066
,,353368.731,,1194.560
,,352967.834,,854.098
353062.062,352654.085,360328.701,730.174,2488.543
352799.440,353024.371,358899.695,503.871,1464.930
355171.958,354233.396,360364.604,2563.178,2549.103
353929.073,350511.478,360469.102,1377.222,2297.963
353176.935,351671.710,357828.117,734.728,866.525
352460.588,350893.316,364023.823,300.840,5200.795
354001.196,352210.873,357762.366,1338.253,640.424
353077.398,352661.077,358934.780,656.716,1519.176
352744.284,351242.318,365706.315,435.228,6580.354
353184.456,353915.145,358527.447,774.309,1265.127
354438.606,354961.085,360814.354,1605.020,2944.394
353759.627,353610.822,360872.730,1164.302,2781.472
352848.516,358706.253,363204.783,485.525,4493.604
,,367731.716,,8899.850
,,363469.286,,4990.684
,,359970.586,,1974.982
,,359675.132,,2148.462
