Area,Mean,StdDev,Circ.,AR,Round,Solidity
0.112,361600.050,3125.138,0.892,1.930,0.518,0.939
0.318,366188.961,6199.769,0.710,2.688,0.372,0.936
0.002,356937.156,0.000,1.000,1.000,1.000,1.000
0.014,357845.258,460.644,1.000,1.229,0.814,0.941
0.108,365094.184,5969.036,0.976,1.301,0.769,0.909
0.184,362951.984,4544.195,0.734,2.092,0.478,0.911
0.038,360178.159,1532.881,1.000,1.000,1.000,0.913
0.074,362354.676,3276.891,1.000,1.176,0.850,0.882
0.080,363377.923,3886.793,0.949,1.141,0.876,0.898
0.161,369059.755,9272.812,0.965,1.264,0.791,0.904
0.074,362006.962,2984.340,0.928,1.173,0.853,0.872
0.177,370018.676,9193.774,0.851,1.406,0.711,0.875
0.069,363078.839,3710.171,1.000,1.022,0.979,0.894
0.061,361848.933,2715.358,1.000,1.275,0.784,0.919
0.031,359378.719,1052.796,1.000,1.263,0.792,0.919
0.009,358239.219,280.140,1.000,1.553,0.644,0.909
0.154,366107.864,6147.986,0.935,1.571,0.637,0.929
0.078,363715.794,4267.932,1.000,1.077,0.928,0.896
0.110,364109.584,4650.360,0.929,1.381,0.724,0.938
0.168,364983.428,4572.426,0.829,2.012,0.497,0.959
0.108,364295.685,5168.906,1.000,1.160,0.862,0.930
0.128,366486.004,6631.006,0.966,1.333,0.750,0.928
0.058,361411.530,2300.497,1.000,1.177,0.850,0.901
0.072,363191.915,3956.633,1.000,1.234,0.810,0.920
0.202,365727.356,5475.941,0.815,2.022,0.494,0.949
0.027,359734.965,1127.809,1.000,1.137,0.880,0.968
0.014,356735.008,479.079,0.914,1.416,0.706,0.800
0.004,356240.000,33.013,1.000,2.000,0.500,1.000
0.094,361236.857,3401.301,1.000,1.302,0.768,0.929
0.047,358997.355,1752.302,1.000,1.271,0.787,0.867
0.049,358744.399,1774.440,1.000,1.059,0.945,0.885
0.228,367455.548,9388.599,0.886,1.488,0.672,0.897
0.159,361347.362,4373.194,0.710,2.318,0.431,0.850
0.056,359110.774,1880.083,1.000,1.058,0.945,0.925
0.042,359165.637,2420.638,0.964,1.623,0.616,0.920
0.072,359492.691,2238.047,1.000,1.434,0.698,0.930
0.065,360575.443,2842.560,0.996,1.303,0.768,0.935
