Area,Mean,StdDev,Circ.,AR,Round,Solidity
0.148,353514.136,1333.087,0.872,1.723,0.580,0.911
0.056,352556.930,482.507,1.000,1.372,0.729,0.939
0.042,352303.003,354.550,1.000,1.322,0.756,0.885
0.208,353863.832,1665.256,0.795,2.035,0.491,0.906
0.101,353091.379,1007.066,0.967,1.389,0.720,0.926
0.114,353368.731,1194.560,0.983,1.215,0.823,0.920
0.083,352967.834,854.098,0.927,1.221,0.819,0.860
0.065,360328.701,2488.543,0.996,1.166,0.858,0.923
0.040,358899.695,1464.930,1.000,1.176,0.850,0.880
0.065,360364.604,2549.103,1.000,1.186,0.843,0.935
0.060,360469.102,2297.963,1.000,1.166,0.857,0.904
0.027,357828.117,866.525,0.976,1.439,0.695,0.857
0.134,364023.823,5200.795,0.887,1.672,0.598,0.897
0.020,357762.366,640.424,0.976,1.892,0.528,0.880
0.040,358934.780,1519.176,0.988,1.289,0.776,0.863
0.211,365706.315,6580.354,0.866,1.819,0.550,0.929
0.036,358527.447,1265.127,1.000,1.203,0.831,0.851
0.087,360814.354,2944.394,0.967,1.347,0.743,0.906
0.136,360872.730,2781.472,0.837,1.898,0.527,0.926
0.130,363204.783,4493.604,0.929,1.439,0.695,0.911
0.217,367731.716,8899.850,0.853,1.825,0.548,0.923
0.166,363469.286,4990.684,0.902,1.628,0.614,0.925
0.051,359970.586,1974.982,1.000,1.355,0.738,0.903
0.056,359675.132,2148.462,1.000,1.248,0.801,0.886
0.065,355655.034,1239.850,1.000,1.385,0.722,0.889
0.126,358646.096,3557.839,0.953,1.486,0.673,0.927
0.092,356961.093,2045.502,0.938,1.220,0.820,0.927
0.056,355377.851,1076.240,0.960,1.238,0.808,0.873
0.137,357534.990,2888.902,0.980,1.291,0.775,0.910
0.090,356299.432,1724.755,1.000,1.140,0.877,0.917
0.049,354803.156,727.635,1.000,1.210,0.826,0.947
0.049,355211.561,940.718,1.000,1.059,0.945,0.885
0.101,356851.523,2074.605,0.895,1.569,0.637,0.848
0.190,358524.610,3407.520,0.924,1.566,0.638,0.938
0.020,354312.349,318.155,1.000,1.372,0.729,0.957
0.190,359087.660,3918.460,0.884,1.746,0.573,0.929
0.081,355874.623,1495.729,0.970,1.233,0.811,0.909
0.025,354601.542,403.592,1.000,1.125,0.889,0.933
0.139,357311.557,2623.076,0.957,1.514,0.660,0.922
0.251,357332.356,2370.996,0.911,1.584,0.631,0.949
0.061,355579.229,1198.314,0.994,1.203,0.831,0.919
0.011,353954.479,154.674,1.000,1.500,0.667,1.000
0.208,358186.975,3196.788,0.901,1.581,0.632,0.916
0.170,359336.430,4531.539,0.869,1.251,0.799,0.874
0.033,355246.542,566.055,1.000,1.248,0.801,0.947
0.058,356398.408,1545.066,1.000,1.177,0.850,0.901
0.103,357274.214,2177.427,0.985,1.446,0.692,0.919
0.078,357581.576,2437.894,1.000,1.088,0.919,0.945
0.146,356997.725,1881.090,0.861,1.856,0.539,0.920
0.130,357911.395,2726.944,0.929,1.400,0.714,0.900
0.065,356681.708,1641.709,1.000,1.186,0.843,0.935
0.013,354669.710,237.377,1.000,1.069,0.936,0.875
0.125,358374.652,2998.682,0.890,1.663,0.601,0.908
0.092,357505.024,2297.740,0.963,1.430,0.699,0.887
0.049,356746.663,1386.470,1.000,1.210,0.826,0.947
0.228,360371.625,4483.978,0.848,1.849,0.541,0.937
0.154,359280.168,3837.255,0.935,1.338,0.747,0.919
0.060,356213.455,1472.986,0.998,1.114,0.898,0.846
0.085,357232.319,2222.410,0.993,1.156,0.865,0.879
0.137,361853.039,4881.971,0.980,1.211,0.826,0.916
0.025,356521.906,614.848,0.993,1.264,0.791,0.848
0.159,362561.861,5674.433,0.954,1.125,0.889,0.903
0.083,359860.254,2886.542,0.992,1.496,0.668,0.939
0.157,361267.338,3822.419,0.779,1.883,0.531,0.853
0.051,357813.031,1593.834,1.000,1.144,0.874,0.889
0.134,360805.554,4006.549,0.920,1.431,0.699,0.902
0.107,361428.549,4210.875,0.959,1.361,0.734,0.894
